date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:11	80020/80020	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-13.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-13.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:12	23526/23526	---M--	200	added ('OK')	image/jpeg	etag:%22222cc-647b574751f8d%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-12.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-12.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:12	488/488	---M--	200	added ('OK')	image/jpeg	etag:%226c1-647b57474f494%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/coming-soon.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/coming-soon.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:13	65942/65942	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/doctor-dashboard.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/doctor-dashboard.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:13	85080/85080	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:27%20GMT	https://doccure.dreamstechnologies.com/html/template/appointments.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/appointments.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:13	61586/61586	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/available-timings.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/available-timings.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:14	65685/65685	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/my-patients.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/my-patients.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:14	68985/68985	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/chat-doctor.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/chat-doctor.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:14	54357/54357	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/invoices.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/invoices.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:14	47188/47188	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/doctor-profile-settings.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/doctor-profile-settings.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:15	41118/41118	---M--	200	added ('OK')	image/jpeg	etag:%223e16c-647b574753315%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/menu-img-1.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/menu-img-1.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:15	111530/111530	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/patient-dashboard.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/patient-dashboard.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:15	53883/53883	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/map-grid.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/map-grid.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:16	54875/54875	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/map-list.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/map-list.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:16	55028/55028	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/map-list-availability.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/map-list-availability.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:16	54442/54442	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/booking.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/booking.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:17	43015/43015	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/booking-1.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/booking-1.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:17	44125/44125	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/booking-2.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/booking-2.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:17	50476/50476	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/booking-popup.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/booking-popup.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:17	64095/64095	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/search.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/search.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:17	86069/86069	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/search-2.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/search-2.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:18	62711/62711	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/doctor-profile.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/doctor-profile.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:18	64855/64855	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/doctor-profile-2.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/doctor-profile-2.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:18	42759/42759	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/checkout.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/checkout.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:18	56388/56388	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/favourites.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/favourites.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:19	68072/68072	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/chat.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/chat.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:19	45647/45647	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/profile-settings.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/profile-settings.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:19	47067/47067	---M--	200	added ('OK')	image/jpeg	etag:%224e19a-647b574753ae5%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/menu-img-2.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/menu-img-2.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:20	56990/56990	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/pharmacy-details.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/pharmacy-details.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:20	40933/40933	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/pharmacy-search.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/pharmacy-search.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:20	52739/52739	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/product-all.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/product-all.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:20	44906/44906	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/product-description.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/product-description.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:21	47303/47303	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/cart.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/cart.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:21	43107/43107	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/product-checkout.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/product-checkout.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
